Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
1,france,20010126,20030217,27.26,2,14,200,0.01,1,4,0.75,0.25,0.004499534,524914.8832,0.566617964,0,100,758,37.7778638,12,0,0
1,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.25,0.75,0.007140797,790183.3208,0.654296459,0,100,1171,30.6320719,19,0,0
1,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.5,0.5,0.007522969,835047.4518,0.634668496,0,100,1156,15.7423587,19,0,0
1,france,20010126,20030217,27.26,3,14,200,0.01,1,4,0.75,0.25,0.008390773,948429.9986,0.585063871,0,100,1064,44.1381028,17,0,0
1,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.25,0.75,0.012301721,2.03E+06,0.804105581,0,100,1988,8.3247196,33,0,0
1,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.5,0.5,0.012837472,2.11E+06,0.796148066,0,100,1724,43.6047204,28,0,0
1,france,20010126,20030217,27.26,4,14,200,0.01,1,4,0.75,0.25,0.016214503,2.56E+06,0.752438981,0,100,647,47.2978533,10,0,0
1,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.25,0.75,0.015603969,2.36E+06,0.706768854,0,100,1711,30.7784262,28,0,0
1,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.5,0.5,0.016545686,2.47E+06,0.692927749,0,100,975,15.4116364,16,0,0
1,france,20010126,20030217,27.26,5,14,200,0.01,1,4,0.75,0.25,0.020221708,2.94E+06,0.634771731,0,100,415,54.6895514,6,0,0
1,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.25,0.75,0.011147024,1.29E+06,0.655009534,0,100,2282,2.2559661,38,0,0
1,france,20010126,20030217,27.26,6,14,200,0.01,1,4,0.5,0.5,0.011831259,1.36E+06,0.635818387,0,100,2275,54.815454,37,0,0
