Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,w1,w2,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
2,france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.5,0.5,0.871501207,187538.4175,0.715421793,0,100,141,21.3216125,2,0,0
3,france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.5,0.5,0.871229986,187637.7923,0.715270998,0,100,132,12.2940394,2,0,0
4,france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.5,0.5,0.862975435,187218.0761,0.715907892,0,100,128,7.9641435,2,0,0
5,france,20210328,20210728,12.48,8,14,200,0.01,1,4,0.5,0.5,0.871746866,188367.8676,0.714163153,0,100,135,15.2165263,2,0,0
1,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.5,0.5,0.895267745,286737.4948,0.594759634,0,100,150,29.922145,2,0,0
2,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.5,0.5,0.87828436,285503.2637,0.596503948,0,100,156,35.9701406,2,0,0
3,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.5,0.5,0.870337493,283533.6243,0.5992876,0,100,151,31.2219948,2,0,0
4,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.5,0.5,0.88626656,285158.4074,0.596991326,0,100,151,31.3379986,2,0,0
5,france,20210328,20210728,12.48,9,14,200,0.01,1,4,0.5,0.5,0.880876571,285194.9848,0.596939632,0,100,143,23.0536247,2,0,0
1,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.5,0.5,0.924711977,153485.9573,0.72398577,0,100,133,13.1621087,2,0,0
2,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.5,0.5,0.91727771,153472.1557,0.72401059,0,100,137,17.1361397,2,0,0
3,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.5,0.5,0.981213082,157255.7723,0.717206502,0,100,141,21.1105995,2,0,0
4,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.5,0.5,0.912993815,153360.4256,0.724211514,0,100,139,19.3122145,2,0,0
5,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.5,0.5,0.922120613,153392.3333,0.724154135,0,100,135,15.3149079,2,0,0
1,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.5,0.5,0.023036672,17378.99465,0.777537888,0,100,493,12.5096752,8,0,0
2,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.5,0.5,0.023301693,17440.62027,0.776749041,0,100,487,7.1904435,8,0,0
3,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.5,0.5,0.02343045,17456.43565,0.776546595,0,100,475,54.7269651,7,0,0
4,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.5,0.5,0.022991309,17418.15134,0.777036658,0,100,480,59.601329,7,0,0
5,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.5,0.5,0.023171458,17438.33977,0.776778233,0,100,464,43.7152968,7,0,0
1,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.5,0.5,0.029609666,20254.74932,0.802481407,0,100,256,16.069402,4,0,0
2,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.5,0.5,0.028702742,20185.04198,0.803161174,0,100,237,57.0824148,3,0,0
3,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.5,0.5,0.02904199,20203.39705,0.80298218,0,100,232,51.8919726,3,0,0
4,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.5,0.5,0.029354497,20259.55486,0.802434545,0,100,251,10.8314993,4,0,0
5,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.5,0.5,0.029083552,20216.70428,0.802852412,0,100,240,0.250621,4,0,0
1,france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.5,0.5,0.076035341,23699.62759,0.86527969,0,100,139,19.1659782,2,0,0
2,france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.5,0.5,0.068076083,23467.49444,0.866599248,0,100,136,16.3088492,2,0,0
3,france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.5,0.5,0.073877414,23482.17281,0.866515809,0,100,136,16.1855851,2,0,0
4,france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.5,0.5,0.074345985,23658.16273,0.865515396,0,100,136,16.2603523,2,0,0
5,france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.5,0.5,0.070987051,23553.19484,0.866112085,0,100,139,18.7144206,2,0,0
1,france,20210328,20211024,18.57,4,14,200,0.01,1,4,0.5,0.5,0.07584586,21682.77781,0.895949213,0,100,85,24.9323855,1,0,0
2,france,20210328,20211024,18.57,4,14,200,0.01,1,4,0.5,0.5,0.079468115,21880.70431,0.894999408,0,100,89,29.2510966,1,0,0
3,france,20210328,20211024,18.57,4,14,200,0.01,1,4,0.5,0.5,0.075850584,21787.26832,0.895447786,0,100,87,26.8441954,1,0,0
4,france,20210328,20211024,18.57,4,14,200,0.01,1,4,0.5,0.5,0.074916562,21896.94246,0.894921485,0,100,88,27.9869489,1,0,0
5,france,20210328,20211024,18.57,4,14,200,0.01,1,4,0.5,0.5,0.07886676,21765.01923,0.895554555,0,100,91,31.4653601,1,0,0
1,france,20210328,20211024,18.57,5,14,200,0.01,1,4,0.5,0.5,0.162457362,31392.78851,0.858499404,0,100,100,39.6997607,1,0,0
2,france,20210328,20211024,18.57,5,14,200,0.01,1,4,0.5,0.5,0.161607619,31260.37662,0.85909624,0,100,102,42.190398,1,0,0
3,france,20210328,20211024,18.57,5,14,200,0.01,1,4,0.5,0.5,0.176358581,31638.07018,0.857393815,0,100,101,41.0209447,1,0,0
4,france,20210328,20211024,18.57,5,14,200,0.01,1,4,0.5,0.5,0.167919708,31408.80511,0.85842721,0,100,100,40.3440252,1,0,0
5,france,20210328,20211024,18.57,5,14,200,0.01,1,4,0.5,0.5,0.172162861,31607.55906,0.857531342,0,100,101,40.7039585,1,0,0
1,france,20210328,20211024,18.57,6,14,200,0.01,1,4,0.5,0.5,0.14678824,33993.42163,0.85342484,0,100,97,37.2307622,1,0,0
2,france,20210328,20211024,18.57,6,14,200,0.01,1,4,0.5,0.5,0.145596365,34082.70729,0.853039852,0,100,99,39.0626246,1,0,0
3,france,20210328,20211024,18.57,6,14,200,0.01,1,4,0.5,0.5,0.150390847,34004.45789,0.853377253,0,100,96,35.6793547,1,0,0
4,france,20210328,20211024,18.57,6,14,200,0.01,1,4,0.5,0.5,0.149491089,34021.32785,0.853304512,0,100,93,33.415525,1,0,0
5,france,20210328,20211024,18.57,6,14,200,0.01,1,4,0.5,0.5,0.152411023,34183.9627,0.852603252,0,100,94,33.8746557,1,0,0
1,france,20210328,20211024,18.57,7,14,200,0.01,1,4,0.5,0.5,0.157746007,41086.3282,0.847573415,0,100,140,19.923319,2,0,0
2,france,20210328,20211024,18.57,7,14,200,0.01,1,4,0.5,0.5,0.169569273,41035.86073,0.847760645,0,100,141,21.395732,2,0,0
3,france,20210328,20211024,18.57,7,14,200,0.01,1,4,0.5,0.5,0.150381184,40599.67715,0.849378847,0,100,135,15.2115479,2,0,0
4,france,20210328,20211024,18.57,7,14,200,0.01,1,4,0.5,0.5,0.161770989,40722.19391,0.848924321,0,100,136,15.5842716,2,0,0
5,france,20210328,20211024,18.57,7,14,200,0.01,1,4,0.5,0.5,0.159887346,40674.2569,0.849102163,0,100,136,15.5758936,2,0,0
1,france,20210328,20211024,18.57,8,14,200,0.01,1,4,0.5,0.5,0.330890717,43363.24592,0.82308899,0,100,118,57.8632323,1,0,0
2,france,20210328,20211024,18.57,8,14,200,0.01,1,4,0.5,0.5,0.336797544,43503.53533,0.822516645,0,100,115,55.0324926,1,0,0
3,france,20210328,20211024,18.57,8,14,200,0.01,1,4,0.5,0.5,0.310006226,42999.21123,0.824574159,0,100,118,58.2990651,1,0,0
4,france,20210328,20211024,18.57,8,14,200,0.01,1,4,0.5,0.5,0.32011019,43321.26645,0.823260256,0,100,113,53.2477653,1,0,0
5,france,20210328,20211024,18.57,8,14,200,0.01,1,4,0.5,0.5,0.337023594,43358.87529,0.823106822,0,100,120,59.9916881,1,0,0
1,france,20210328,20211024,18.57,9,14,200,0.01,1,4,0.5,0.5,0.34335094,37509.34485,0.843833938,0,100,97,37.1793526,1,0,0
