Iteration,Location,Date_Ref,Date_Target,MaskedP,Band,n1,n2,t1,f,minNx,MSLE,MSE,R2,UP,KP,Total_Time_Sec,Time_Sec,Time_Min,Time_Hours,Time_Days
2,france,20210328,20210728,12.48,9,14,200,0.01,1,4,1.13881919,307917.0059,0.564827054,0,100,64,3.9140658,1,0,0
3,france,20210328,20210728,12.48,9,14,200,0.01,1,4,1.158670627,318146.1846,0.55037036,0,100,63,3.1681392,1,0,0
4,france,20210328,20210728,12.48,9,14,200,0.01,1,4,1.175760521,312275.9394,0.558666661,0,100,60,59.8468571,0,0,0
5,france,20210328,20210728,12.48,9,14,200,0.01,1,4,1.125338223,311941.1358,0.559139832,0,100,65,4.5101612,1,0,0
1,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.964541164,142292.4834,0.744115026,0,100,45,45.235429,0,0,0
2,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.981830734,143765.0735,0.741466863,0,100,67,6.9908056,1,0,0
3,france,20210328,20210728,12.48,10,14,200,0.01,1,4,1.1026844,172066.2641,0.690572752,0,100,64,3.8239022,1,0,0
4,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.976072389,143190.4428,0.742500223,0,100,63,3.0857465,1,0,0
5,france,20210328,20210728,12.48,10,14,200,0.01,1,4,0.995368484,146849.9134,0.735919387,0,100,48,47.6903992,0,0,0
1,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.030405095,20792.40979,0.733844018,0,100,46,45.5079572,0,0,0
2,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.027919383,20563.67771,0.736771933,0,100,49,48.5752042,0,0,0
3,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.029252793,20666.19093,0.735459699,0,100,54,53.5562946,0,0,0
4,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.026786372,20354.03421,0.739455502,0,100,46,45.6330781,0,0,0
5,france,20210328,20211024,18.57,1,14,200,0.01,1,4,0.028899423,20752.37177,0.73435653,0,100,49,48.5822759,0,0,0
1,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.033102398,24183.65398,0.764167839,0,100,45,44.5387323,0,0,0
2,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.035343125,24830.94919,0.757855599,0,100,42,42.179844,0,0,0
3,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.035413271,24570.22924,0.760398067,0,100,43,42.8080078,0,0,0
4,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.033890135,24371.60181,0.762335025,0,100,40,39.9950505,0,0,0
5,france,20210328,20211024,18.57,2,14,200,0.01,1,4,0.033678229,24409.82248,0.761962308,0,100,44,43.9031835,0,0,0
1,france,20210328,20211024,18.57,3,14,200,0.01,1,4,0.097521291,29940.72615,0.829802224,0,100,50,50.1465536,0,0,0
